sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
5011,111,10:00-10:20,Extracting components of Vietnam yellow Turmeric - Research and practically apply by-products of Turmeric to contribute to environmental protection.,"Do Trung Nguyen, Dinh Thien Le, Bang Tam Thi Dao, Nhien Hon Le and Chi Nhan Ha Thuc",,,
5011,118,10:20-10:40,"Chitin Hydrogels prepared at various Lithium Chloride/ N, N – dimethylacetamide solutions by water vapor induced phase inversion",Khoa Dang Nguyen and Takaomi Kobayashi,,,
5011,210,10:40-11:00,Preparation and characterization of antibacterial and antioxidant chitosan film incorporated with piper beetle linn. Leaf extract,"Thi Thuong Nguyen, Long Giang Bach and Chi Nhan Ha Thuc",,,
5011,268,11:00-11:20,Chế tạo màng PVA/CNC/ZnO bằng phương pháp electrospinning,"Nang An Vu, Trong Kha Huynh, Nam Phong Le Pham, Thuy Tien Tran Nguyen, Cam Tien Nguyen Thi, Hieu Le Van and Binh Yen Nguyen Thi",,,
5011,275,11:20-11:40,Fabrication of chitosan/nanocellulose membranec containing curcumin by freeze-gelation technique for wound dressing application,"Kim Lộc Nguyễn Thị, Ngọc Hương Thị Kim, Nang An Vu, T. V. Vi Đỗ, Chí Nhân Hà Thúc, Hiếu Lê Văn, Vân Trần Thị Thanh and Ngoc-Uyen Nguyen-Thai",,,
5012,296,13:00–13:20,Ảnh hưởng của chất trợ gia công xà phòng kẽm chứa axit béo không bão hòa đến tính chất của hỗn hợp cao su NBR và EPDM,Thuật Lê Xuân and Thanh Nguyen Thi Le,,,
5012,308,13:20–13:40,Ảnh hưởng của chất trợ gia công xà phòng kẽm chứa axit béo không bão hòa đến tính chất của hỗn hợp cao su NBR và EPDM,Trung Vũ Tiến and Chí Nhân Hà Thúc,,,
5012,369,13:40–14:00,Relationship between mechanical stability of the fibril state and fibril formation time of polypeptide chains,"Tran Thu, Pham Huy, Kiet Ho and Mai Suan Li",,,
5012,463,14:00–14:20,Synthesis benzenesulphonyl-serinol for fabrication the pH sensitive copolymer hydrogel,Nguyen Vu Viet Linh and Huynh Dai Phu,,,
5012,229,14:20–14:40,Tổng hợp copolymer bền nhiệt dưới tác dụng của chiếu xạ gamma định hướng ứng dụng trong tăng cường thu hồi dầu,"Anh Quan Hoang, Phuong Tung Nguyen, Thi Lieu Nguyen, Anh Tuyen Luu and Van Toan Le",,,
5021,265,10:00-10:20,Hoạt tính quang xúc tác của ɑ-Fe2O3 được tổng hợp bằng phương pháp sol-gel trên giá mang nano tinh thể cellulose,"Nang An Vu, Hai Dang Nguyen, Ngoc Hau Do, Tan Phat Doan, Hieu Le Van, Phat Dang Tan and Huy Tran Dang",,,
5021,5,10:20-10:40,Preparation of Aerogel from Graphene oxide and nanocellulose towards applications in waste water treatment,"Nguyen Tuong Vy, Nguyen Huynh Phuc, Ha Quoc Lam and Hoang Thi Dong Quy",,,
5021,40,10:40-11:00,Preparation and characterization of ZnO/MMT nanocomposite for photo catalytic enhancement in degradation of Rhodamine B,"Tam Bang Thi Dao, Loan Thu Thi Ha, Do Trung Nguyen, Nhien Hon Le and Chi Nhân Hà Thúc",,,
5021,496,11:00–11:20,Nghiên cứu tổng hợp lưu chất từ ứng dụng xử lý vi nhựa trong nước,"Lien M. Tran, Duy K. Huynh, Duy A. Ho, Nghia T. Bui",,,
5021,498,11:20–11:40,Nghiên cứu xử lý Ni(II) trong nước bằng chất hấp phụ composite có từ tính sử dụng nguyên liệu biopolyme từ vỏ trái thanh long,"Van T.T. Tran, Vinh H. Nguyen, Dao T. Le, Nghia T. Bui",,,
5022,,13:00–13:20,Tính chất của LiFeO 4 cấu trúc nano được tổng hợp bởi phương pháp nhiệt dung môi,"Nguyễn Thị Mỹ Anh, Nguyễn Thái Hòa",,,
5022,94,13:20–13:40,Tổng hợp vật liệu nano Zn-2-MID làm chất mang nano,"Trang Nguyen, Linh Nguyen and Tan Doan",,,
5022,151,13:40–14:00,Thermal treatment of polyvinyl alcohol to combine MoS2 and TiO2 nanotube arrays for enhancing photo electrochemical water splitting,"Truong Tho Nguyen, Minh Thi Cao and Van Viet Pham",,,
5022,157,14:00–14:20,Growing hexagonal boron nitride nanowalls on Si and CVD diamond substrates with a homebuilt unbalanced RF sputtering,Duc-Quang Hoang,,,
