sessionId,paperId,date,paperName,author,summary,linkZoom,linkPdf
8011,112,10:00-10:30,Krull dimension of power series rings,Phan Thanh Toàn,,,
8011,305,10:30-10:45,Division rings satisfying a generalized polynomial identity with an anti-automorphism,Thư Võ Hoàng Minh,,,
8011,342,10:45-11:00,Automorphism groups of vector spaces with generalized group identities,Nam Cao,,,
8011,147,11:00-11:15,Krull dimension of Hurwitz power series rings,"Truong Tan Duy, Le Thi Ngoc Giau and Phan Thanh Toan",,,
8011,124,11:15-11:30,Valuations on power series rings in an arbitrary set of indeterminates,"Tri Pham Thanh, Toan Phan Thanh and Thieu Vo Ngoc",,,
8011,127,11:30-11:45,Characterizations of Noetherian and Artinian rings,Duy Tân Mai and Khánh Tùng Nguyễn,,,
8012,903,13:30-14:00,Kameko's homomorphism and the Peterson hit problem,Nguyễn Sum,,,
8012,904,14:00-14:15,Classification of 7-dimensional real solvable indecomposable Lie algebras having 5-dimensional nilradical g5;2,"Tuyen T. M. Nguyen, Tuan A. Nguyen, Tu T. C. Nguyen, and Vu A. Le",,,
8012,355,14:15-14:30,Các đại số Lie giải được 7-chiều có căn luỹ linh (g1)2 ⊕ g3,"Nguyễn Anh Tuấn, Nguyễn Thị Cẩm Tú, Nguyễn Thị Mộng Tuyền, Lê Anh Vũ and Võ Ngọc Thiệu",,,
8012,126,14:30-14:45,Multiplicative subgroups in weakly locally finite division rings,Huỳnh Việt Khánh and Bùi Xuân Hải,,,
8012,361,14:45-15:00,Additive maps on invertible matrices over division rings,Trung Nghia Nguyen,,,
8012,902,15:30-16:00,On general envelopes and covers and applications,Lê Văn Thuyết,,,
8012,341,16:00-16:15,Algebraic commutators with respect to subnormal subgroups in division rings,"Vu Mai Trang, Bui Xuan Hai and Mai Hoang Bien",,,
8012,376,16:15-16:30,The Jacobson radical types of Leavitt path algebras with coefficients in a commutative semiring,Le Hoang Mai,,,
8012,375,16:30-16:45,Analogues of Leavitt path algebras for higher-rank graphs,Deo Trinh Thanh,,,
8012,43,16:45-17:00,Intersection graphs of general linear groups,Do Hoang Viet,,,
8012,353,17:00-17:15,Intersection graphs of general skew linear groups,Chua Le,,,
8013,16,08:00-08:30,Operadic structure on the Gerstenhaber-Schack complex for prestacks,Đinh Văn Hoàng,,,
8013,344,08:30-08:45,"Traces, skew traces and norms of normal subgroup in rings with involution","Hoang Bien Mai, Xuan Hai Bui and Thi Hue Dau",,,
8013,345,08:45-09:00,Uni-additive maps of algebraic algebras,Mai Hoang Bien,,,
8013,901,09:00-09:15,Subgroups of the general linear group containing the classical subgroups over a ring extension of finite rank,"Trần Ngọc Hội, Nguyễn Hữu Trí Nhật",,,
8013,303,09:15-09:30,Nhóm con á tựa chuẩn tắc của nhóm tuyến tính tổng quát trên vành chia và nhóm nhân của đại số nhóm thực,Lê Quí Danh,,,
8013,254,10:00-10:30,On engel quasi-normal subgroup in division rings with uncountable center,Khoi Nguyen Duy Minh,,,
8013,310,10:30-10:45,An improvement on stability of a mixed type quadratic and additive functional equation in abelian group,Nguyen Thi Thanh Ly,,,
8013,450,10:45-11:00,Formal generalized local cohomology,Tu Nguyen Hoang Huy and Nam Tran Tuan,,,
8013,483,11:00-11:15,Some properties of local cohomology modules defined by a pair of ideals,"Trần Tuấn Nam, Nguyễn Minh Trí and Nguyễn Thành Nam",,,
8013,325,11:15-11:30,A note on locally soluble almost subnormal subgroups in division rings,Dung Truong Huu,,,
