majorId,sessionId,sessionName,sessionName_en,room,linkZoom,day,startDate,endDate
8,8011,Đại số và lý thuyết số,Algebra and number theory,B.11A,,1,10:00,11:45
8,8012,Đại số và lý thuyết số,Algebra and number theory,B.11A,,1,13:30,17:15
8,8013,Đại số và lý thuyết số,Algebra and number theory,B.11A,,1,08:00,11:30
8,8021,Khoa học tính toán,Computing Sciences,B.11B,,1,13:30,17:05
8,8031,Phương trình đạo hàm riêng,Partial differential equations,F.110,,1,10:00,11:55
8,8032,Phương trình đạo hàm riêng,Partial differential equations,F.110,,1,13:30,16:25
8,8033,Phương trình đạo hàm riêng,Partial differential equations,F.111,,1,13:30,16:25
8,8034,Phương trình đạo hàm riêng,Partial differential equations,F.110,,2,08:40,10:55
8,8035,Phương trình đạo hàm riêng,Partial differential equations,F.111,,2,08:00,10:55
8,8041,Ứng dụng tin học,Computer science,F.109,,2,13:30,16:30
8,8051,Xác suất thống kê,Probability and Statistics,F.109,,1,10:00,11:40
8,8061,Giáo dục toán học,Mathematics education,B.11B,,1,10:00,11:00
8,8071,Tối ưu,Optimization,B.11B,,2,08:00,11:15
8,8081,Các lĩnh vực khác,Other fields of research,F.102,,1,10:35,11:45
8,8082,Các lĩnh vực khác,Other fields of research,F.102,,1,13:30,17:00
