paperId,author,paperName,majorId
41,Phuong Tran and Ha Phan,TỔNG HỢP 5-HYDROXYMETHYLFURFURAL TỪ FRUCTOSE SỬ DỤNG XÚC TÁC ACID BRÆNSTED,0
44,"Ut Dong Thach, Lam Thanh Thien Tran, Duc Phuong Luu, Hai Yen Dao and Nhu-Trang Tran-Thi",SYNERGETIC EFFECT OF DUAL FUNCTIONAL MONOMERS IN MOLECULARLY IMPRINTED POLYMER PREPARATION FOR HIGHLY SELECTIVE SOLID PHASE EXTRACTION OF CIPROFLOXACIN,0
56,"Lê Minh Nguyễn, Văn Hoàng Nguyễn, Van Man Tran and Mỹ Loan Phụng Lê",NÂNG CAO HIỆU SUẤT CỦA PIN HOÀN CHỈNH HARD CARBON||NaxNi1/3Mn1/3Co1/3O2 BẰNG PHƯƠNG PHÁP HOẠT HÓA ĐAN CÀI ION,0
121,"Thị Bảo Ngọc Nguyễn, Trương Nhật Ni Nguyễn, Văn Hoàng Nguyễn, Văn Mẫn Trần and Mỹ Loan Phụng Lê",ẢNH HƯỞNG CỦA PHỤ GIA VÀ MUỐI THAY THẾ TRÊN NỀN CHẤT ĐIỆN GIẢI LiPF6/EC-DMC ĐẾN HIỆU NĂNG CỦA VẬT LIỆU ĐIỆN CỰC DƯƠNG SPINEL LiMn2O4,0
138,"Linh Ho Thuy Nguyen, Trang Thi Thu Nguyen, Huy Minh Dinh Dang, Phuong Hoang Tran and Tan Le Hoang Doan",Zr and Hf-MOF used as efficient heterogeneous catalysts for the condensation and cycloaddition reaction,0
150,Binh Phuong Nhan Nguyen and Phuong Thuy Nguyen,PHOTOCATALYTIC ACTIVITY OF TiO2 DOPED WITH Ag and N ON THE DEGRADATION OF METHYLENE BLUE,0
152,Binh Phuong Nhan Nguyen and Quoc Thao Mai,SYNTHESIS AND INVESTIGATION OF THE PHOTOCATALYTIC OF ZnO/Ag DOPED WITH N,0
163,"Van Hung Phan, Thu Uyen Tran Thi and Tien Khoa Le","Nghiên cứu tổng hợp, đặc trưng và đánh giá hoạt tính xúc tác quang-Fenton của hệ xúc tác dị thể có từ tính CuFe2O4/Fe2O3 (Synthesis, characterization and photo-Fenton catalytic activity of magnetic CuFe2O4/Fe2O3 materials)",0
170,"Oanh Nguyễn Hoàng, Tuyền Trương Thị Thanh, Vi Ngô Hoàng Nhật, Hoàng Nguyễn Văn, Phụng Lê Mỹ Loan and Mẫn Trần Văn",DUNG MÔI CỘNG TINH SÂU TỔNG HỢP TỪ LITHIUM TETRAFLUOROBORATE VÀ ACETAMIDE LÀM CHẤT ĐIỆN GIẢI CHO SIÊU TỤ ĐIỆN LỚP KÉP,0
185,"Duy Khang Nguyen Vu, Quynh Nhu Tran Thi, Y Nhi Nguyen Thi and Le Quan Tran",SOME PHENOLIC COMPOUNDS AND CELLULAR TOXICITY OF EUPHORBIA TIRUCALLI LINN. (EUPHORBIACEAE),0
186,Kim Huong Nguyen Thi and Thi Thuy Duong Ngo,CHEMICAL CONSTITUENTS OF THE n-HEXANE EXTRACT OF LEONOTIS NEPETIFOLIA (L) R. Br.,0
195,"Nguyen Tuong Vi Le, Cuu Khoa Nguyen, Tien Dung Le, Tong Hung Quach, Thi Phuong Nguyen, Thi Le Hang Dang, Van Chinh Nguyen, Tran Thuy Quynh Nguyen and Thi Dac Ngan Thai",ISOLATION AND EVALUATION OF QUANTITATIVE PROCEDURES [6]-SHOGAOL IN GINGER (Zingiber officinale) BY HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY METHOD (HPLC),0
203,"Tú Quyên T. Trần, Lam H. Đặng, Hương T. Nguyễn, Dũng N. Bùi, Liên Hoa D. Nguyễn and Phương T. Trần",KHẢO SÁT THÀNH PHẦN 0 VỎ CÂY XÀ CỪ LÁ NHỎ (SWIETENIA MICROPHYLLA),0
207,"Thế Luân Nguyễn, Tiến Khoa Lê, Châu Ngọc Hoàng, Hữu Khánh Hưng Nguyễn and Thị Kiều Xuân Huỳnh",ẢNH HƯỞNG CỦA HÀM LƯỢNG TIỀN CHẤT ĐỒNG NITRAT LÊN HOẠT TÍNH QUANG XÚC TÁC CỦA ZnO BIẾN TÍNH VỚI Cu BẰNG PHƯƠNG PHÁP SỐC NHIỆT,0
